Score,Comments,EvaluationDate,JudgeID,ArtworkID,ExhibitionID
3.81,"Excellent technical skill, but could explore more conceptual depth. Compelling story told.",2025-08-26,44,45,2
5.68,Intriguing interplay of light and shadow. Needs more contrast.,2025-06-07,42,56,3
5.92,The color palette evokes deep emotions effectively. Compelling story told.,2024-06-22,41,5,5
2.66,Thought-provoking themes are well-executed. Highly original concept.,2025-04-28,37,47,4
9.73,Dynamic energy conveyed through brushwork. Engaging from afar.,2023-12-06,37,29,2
7.98,Refined details enhance the overall impact. Polished execution.,2024-04-25,42,36,1
9.46,"Excellent technical skill, but could explore more conceptual depth. Polished execution.",2024-12-29,42,53,1
9.05,Bold choices in form and texture stand out. Compelling story told.,2024-04-26,45,12,1
6.38,Harmonious balance with subtle nuances. Consider scale adjustments.,2023-12-05,43,3,2
9.3,Vibrant hues create a sense of movement. Needs more contrast.,2024-12-08,36,60,2
1.8,Textural contrasts provide tactile appeal. Needs more contrast.,2025-03-19,39,48,3
2.76,"Excellent technical skill, but could explore more conceptual depth. Highly original concept.",2024-05-06,43,31,1
1.41,Evocative symbolism adds layers of meaning. Consider scale adjustments.,2024-08-20,45,9,1
3.93,Strong composition and innovative use of materials. Compelling story told.,2023-12-06,42,17,3
4.5,The color palette evokes deep emotions effectively. Polished execution.,2023-11-07,43,46,2
3.44,Refined details enhance the overall impact. Compelling story told.,2024-08-29,43,26,2
8.46,Dynamic energy conveyed through brushwork. Engaging from afar.,2025-06-01,38,67,2
4.21,Vibrant hues create a sense of movement. Engaging from afar.,2025-07-07,38,3,3
3.53,Dynamic energy conveyed through brushwork. Polished execution.,2024-02-15,45,11,3
5.88,Captivating narrative through visual elements. Consider scale adjustments.,2024-10-06,43,32,5
2.27,The color palette evokes deep emotions effectively. Polished execution.,2024-08-15,45,26,4
8.22,Dynamic energy conveyed through brushwork. Needs more contrast.,2025-02-05,37,32,4
1.67,Bold choices in form and texture stand out. Compelling story told.,2025-08-15,42,6,1
9.88,Intriguing interplay of light and shadow. Consider scale adjustments.,2025-05-07,41,10,1
7.95,Refined details enhance the overall impact. Consider scale adjustments.,2025-04-17,40,26,2
2.79,Intriguing interplay of light and shadow. Polished execution.,2025-03-17,43,23,5
1.05,Strong composition and innovative use of materials. Highly original concept.,2024-03-14,43,20,3
8.34,Dynamic energy conveyed through brushwork. Consider scale adjustments.,2025-03-28,41,68,2
7.36,Strong composition and innovative use of materials. Needs more contrast.,2025-02-19,40,2,1
7.56,Captivating narrative through visual elements. Polished execution.,2024-08-03,37,14,4
7.94,Captivating narrative through visual elements. Highly original concept.,2024-05-13,37,37,3
1.67,Evocative symbolism adds layers of meaning. Polished execution.,2024-02-21,42,64,1
4.23,Bold choices in form and texture stand out. Polished execution.,2024-10-01,44,9,1
2.04,The color palette evokes deep emotions effectively. Needs more contrast.,2024-04-12,36,55,4
8.77,Refined details enhance the overall impact. Compelling story told.,2025-02-09,40,50,5
6.61,Dynamic energy conveyed through brushwork. Highly original concept.,2025-08-22,39,16,3
3.98,"Excellent technical skill, but could explore more conceptual depth. Engaging from afar.",2024-07-18,45,43,1
1.57,Thought-provoking themes are well-executed. Compelling story told.,2024-05-06,43,49,5
3.8,Captivating narrative through visual elements. Consider scale adjustments.,2023-11-12,41,70,1
3.93,Thought-provoking themes are well-executed. Compelling story told.,2024-10-08,37,15,5
7.57,Evocative symbolism adds layers of meaning. Polished execution.,2024-08-26,36,10,2
6.74,The color palette evokes deep emotions effectively. Engaging from afar.,2025-06-01,37,6,2
8.98,Fluid lines guide the viewer's eye seamlessly. Compelling story told.,2025-09-18,40,13,4
5.25,Strong composition and innovative use of materials. Engaging from afar.,2024-05-13,41,50,5
2.08,Strong composition and innovative use of materials. Engaging from afar.,2024-04-25,44,70,3
7.42,Textural contrasts provide tactile appeal. Needs more contrast.,2025-07-15,36,57,3
7.85,Fluid lines guide the viewer's eye seamlessly. Polished execution.,2025-08-13,45,68,3
6.05,Vibrant hues create a sense of movement. Engaging from afar.,2024-12-17,44,70,3
7.94,Vibrant hues create a sense of movement. Engaging from afar.,2025-01-08,44,47,3
5.44,Masterful handling of negative space. Compelling story told.,2025-04-08,45,50,3
5.7,Dynamic energy conveyed through brushwork. Polished execution.,2024-09-28,40,39,1
4.85,The color palette evokes deep emotions effectively. Engaging from afar.,2024-01-25,39,21,2
1.23,Strong composition and innovative use of materials. Polished execution.,2024-12-12,39,21,1
1.97,"Excellent technical skill, but could explore more conceptual depth. Consider scale adjustments.",2025-09-13,39,12,3
1.28,Refined details enhance the overall impact. Compelling story told.,2024-02-03,36,50,2
6.73,Textural contrasts provide tactile appeal. Polished execution.,2024-05-05,38,50,5
3.83,The color palette evokes deep emotions effectively. Engaging from afar.,2024-03-20,39,13,5
5.58,Fluid lines guide the viewer's eye seamlessly. Needs more contrast.,2025-02-28,36,26,4
9.17,Captivating narrative through visual elements. Engaging from afar.,2024-09-24,43,16,3
3.24,Vibrant hues create a sense of movement. Engaging from afar.,2024-07-09,39,69,2
4.69,Thought-provoking themes are well-executed. Needs more contrast.,2023-11-04,37,56,4
7.8,Dynamic energy conveyed through brushwork. Polished execution.,2024-07-22,36,17,5
3.06,Masterful handling of negative space. Polished execution.,2024-11-24,45,35,3
1.69,Captivating narrative through visual elements. Polished execution.,2024-06-26,40,26,2
3.61,Evocative symbolism adds layers of meaning. Highly original concept.,2025-01-28,44,41,1
2.45,The color palette evokes deep emotions effectively. Consider scale adjustments.,2024-07-28,43,33,3
9.37,Intriguing interplay of light and shadow. Needs more contrast.,2024-09-30,40,69,3
8.27,Thought-provoking themes are well-executed. Consider scale adjustments.,2024-09-02,42,10,4
6.7,Captivating narrative through visual elements. Polished execution.,2025-06-16,45,62,4
8.84,Harmonious balance with subtle nuances. Compelling story told.,2025-06-06,36,5,2
8.23,Fluid lines guide the viewer's eye seamlessly. Compelling story told.,2023-11-09,38,28,5
2.68,Fluid lines guide the viewer's eye seamlessly. Highly original concept.,2024-07-22,37,51,2
9.03,Captivating narrative through visual elements. Needs more contrast.,2025-08-28,45,34,3
5.85,"Excellent technical skill, but could explore more conceptual depth. Polished execution.",2024-10-31,42,29,4
8.27,Captivating narrative through visual elements. Highly original concept.,2025-10-07,40,29,1
9.06,Vibrant hues create a sense of movement. Highly original concept.,2024-06-26,43,41,3
3.86,Evocative symbolism adds layers of meaning. Compelling story told.,2023-12-31,38,9,3
1.99,The color palette evokes deep emotions effectively. Highly original concept.,2025-09-11,37,23,3
3.05,Evocative symbolism adds layers of meaning. Compelling story told.,2024-02-27,38,6,2
4.84,Refined details enhance the overall impact. Engaging from afar.,2025-02-16,42,33,3
8.36,Evocative symbolism adds layers of meaning. Consider scale adjustments.,2024-09-07,42,37,4
8.75,Evocative symbolism adds layers of meaning. Consider scale adjustments.,2024-04-09,36,9,3
1.06,Refined details enhance the overall impact. Compelling story told.,2024-12-17,44,59,5
5.6,Textural contrasts provide tactile appeal. Consider scale adjustments.,2025-09-30,40,39,4
4.76,Intriguing interplay of light and shadow. Compelling story told.,2025-03-26,41,42,4
3.0,Vibrant hues create a sense of movement. Polished execution.,2025-10-18,42,54,3
2.08,Fluid lines guide the viewer's eye seamlessly. Compelling story told.,2024-09-11,41,10,3
4.04,Harmonious balance with subtle nuances. Highly original concept.,2025-10-04,43,36,5
9.49,Refined details enhance the overall impact. Needs more contrast.,2024-02-26,38,61,3
3.91,Refined details enhance the overall impact. Engaging from afar.,2025-08-13,36,59,2
5.67,Intriguing interplay of light and shadow. Polished execution.,2024-08-26,39,37,5
7.33,Evocative symbolism adds layers of meaning. Polished execution.,2024-11-08,41,22,3
4.27,Vibrant hues create a sense of movement. Needs more contrast.,2025-07-19,37,12,3
9.75,Harmonious balance with subtle nuances. Consider scale adjustments.,2024-06-11,42,66,3
9.66,The color palette evokes deep emotions effectively. Polished execution.,2024-06-09,41,16,4
3.27,Refined details enhance the overall impact. Engaging from afar.,2024-03-13,39,67,5
5.48,Strong composition and innovative use of materials. Needs more contrast.,2025-03-01,45,37,4
3.71,Harmonious balance with subtle nuances. Polished execution.,2024-04-02,41,20,5
3.56,The color palette evokes deep emotions effectively. Compelling story told.,2025-02-05,43,6,2
1.33,Fluid lines guide the viewer's eye seamlessly. Needs more contrast.,2025-07-10,41,14,3
6.49,Vibrant hues create a sense of movement. Consider scale adjustments.,2024-11-14,36,67,5
5.52,Thought-provoking themes are well-executed. Engaging from afar.,2024-12-27,44,20,2
1.46,Refined details enhance the overall impact. Consider scale adjustments.,2025-10-16,36,44,2
3.51,Thought-provoking themes are well-executed. Compelling story told.,2025-05-13,39,44,5
9.17,Textural contrasts provide tactile appeal. Needs more contrast.,2025-02-22,39,7,5
3.16,Refined details enhance the overall impact. Consider scale adjustments.,2025-05-01,43,45,4
2.3,Intriguing interplay of light and shadow. Highly original concept.,2025-09-08,39,42,4
5.41,Harmonious balance with subtle nuances. Consider scale adjustments.,2024-06-08,36,41,4
9.87,Refined details enhance the overall impact. Consider scale adjustments.,2024-07-08,38,12,3
3.18,"Excellent technical skill, but could explore more conceptual depth. Needs more contrast.",2025-09-24,42,44,3
7.05,Refined details enhance the overall impact. Needs more contrast.,2025-06-30,37,64,3
7.85,Evocative symbolism adds layers of meaning. Polished execution.,2024-01-20,41,24,5
3.14,Masterful handling of negative space. Needs more contrast.,2025-04-19,43,65,4
7.55,Thought-provoking themes are well-executed. Compelling story told.,2025-01-28,37,3,2
4.31,"Excellent technical skill, but could explore more conceptual depth. Needs more contrast.",2025-04-21,39,61,3
6.69,Captivating narrative through visual elements. Compelling story told.,2025-10-18,39,6,3
6.7,Refined details enhance the overall impact. Engaging from afar.,2024-11-02,42,67,5
5.82,Thought-provoking themes are well-executed. Consider scale adjustments.,2024-01-16,44,54,2
1.81,Vibrant hues create a sense of movement. Highly original concept.,2025-05-28,42,19,2
8.52,Harmonious balance with subtle nuances. Polished execution.,2024-02-20,45,15,4
3.89,Textural contrasts provide tactile appeal. Polished execution.,2023-12-31,40,41,1
2.68,Dynamic energy conveyed through brushwork. Engaging from afar.,2025-05-11,37,44,1
1.37,Evocative symbolism adds layers of meaning. Polished execution.,2025-03-29,37,3,5
6.32,Intriguing interplay of light and shadow. Consider scale adjustments.,2024-05-23,43,63,1
